"Booking_ID","number.of.adults","number.of.children","number.of.weekend.nights","number.of.week.nights","type.of.meal","car.parking.space","room.type","lead.time","market.segment.type","repeated","P.C","P.not.C","average.price","special.requests","date.of.reservation","booking.status"
"BID05973","2","0","2","6","Meal Plan 1","0","Room_Type 1","26","Offline","0","0","0","56.25","1","9/15/2017","Not_Canceled"
"BID28886","2","0","0","2","Meal Plan 1","0","Room_Type 1","27","Offline","0","0","0","108","0","9/30/2017","Not_Canceled"
"BID31956","1","0","2","1","Meal Plan 2","0","Room_Type 1","80","Offline","0","0","0","100","0","43377","Canceled"
"BID31602","2","1","1","4","Meal Plan 1","0","Room_Type 1","81","Online","0","0","0","135.15","2","43348","Canceled"
"BID06427","2","0","0","3","Meal Plan 1","0","Room_Type 1","1","Offline","0","0","0","82","1","3/15/2018","Not_Canceled"
"BID25200","2","0","2","1","Not Selected","0","Room_Type 1","8","Online","0","0","0","126.67","1","10/29/2018","Not_Canceled"
"BID25176","3","0","2","1","Meal Plan 1","0","Room_Type 4","197","Online","0","0","0","128.7","0","10/29/2018","Canceled"
"BID13173","2","0","0","5","Meal Plan 1","0","Room_Type 1","129","Online","0","0","0","83.61","2","43351","Not_Canceled"
"BID23459","1","0","0","2","Meal Plan 2","0","Room_Type 1","102","Offline","0","0","0","80","0","10/16/2017","Canceled"
"BID14304","2","0","0","2","Meal Plan 2","0","Room_Type 1","265","Offline","0","0","0","115","1","6/24/2018","Canceled"
"BID04154","2","0","0","1","Not Selected","0","Room_Type 1","0","Online","0","0","0","69.01","0","43349","Not_Canceled"
"BID27125","2","0","0","2","Meal Plan 1","1","Room_Type 1","30","Online","0","0","0","144.9","1","43228","Not_Canceled"
"BID21754","3","0","2","4","Meal Plan 2","0","Room_Type 4","85","Online","0","0","0","201.6","1","8/19/2018","Not_Canceled"
"BID32990","2","0","1","3","Meal Plan 1","0","Room_Type 4","21","Online","0","0","0","131.35","1","12/29/2018","Not_Canceled"
"BID32936","3","0","0","2","Meal Plan 1","0","Room_Type 4","55","Online","0","0","0","168.3","2","9/28/2018","Not_Canceled"
"BID07821","2","0","2","1","Meal Plan 1","0","Room_Type 1","221","Offline","0","0","0","65","0","43018","Not_Canceled"
"BID17071","2","0","2","2","Not Selected","0","Room_Type 1","10","Online","0","0","0","139","2","43289","Not_Canceled"
"BID02687","2","0","0","3","Meal Plan 1","0","Room_Type 1","22","Online","0","0","0","90.95","1","11/17/2017","Not_Canceled"
"BID21167","2","0","0","1","Meal Plan 1","0","Room_Type 1","27","Offline","0","0","0","120","0","43349","Not_Canceled"
"BID22020","2","0","0","1","Meal Plan 1","0","Room_Type 1","11","Online","0","0","0","90","2","8/29/2017","Not_Canceled"
"BID13731","2","0","2","3","Meal Plan 1","0","Room_Type 1","46","Offline","0","0","0","86.5","0","5/19/2018","Not_Canceled"
"BID25260","2","0","0","2","Meal Plan 1","0","Room_Type 1","56","Online","0","0","0","93.6","1","11/25/2018","Canceled"
"BID20376","1","0","0","2","Meal Plan 1","0","Room_Type 1","188","Offline","0","0","0","130","0","6/15/2018","Canceled"
"BID26774","2","1","0","2","Meal Plan 1","0","Room_Type 1","4","Online","0","0","0","151.5","0","43291","Not_Canceled"
"BID34765","2","0","1","1","Meal Plan 1","0","Room_Type 1","1","Offline","0","0","0","116","1","43018","Not_Canceled"
"BID05688","2","0","2","1","Not Selected","0","Room_Type 1","55","Online","0","0","0","116.1","0","5/21/2018","Canceled"
"BID15905","2","0","1","3","Meal Plan 1","0","Room_Type 1","66","Online","0","0","0","179.1","2","43292","Not_Canceled"
"BID11525","1","0","0","1","Meal Plan 1","0","Room_Type 1","1","Corporate","0","0","0","65","0","43104","Not_Canceled"
"BID15227","2","0","2","3","Meal Plan 1","0","Room_Type 1","210","Online","0","0","0","90.95","1","43289","Not_Canceled"
"BID29844","3","0","2","2","Meal Plan 1","0","Room_Type 4","94","Online","0","0","0","119","1","12/23/2018","Not_Canceled"
"BID11159","2","0","2","0","Not Selected","0","Room_Type 1","72","Online","0","0","0","79.2","3","11/13/2018","Not_Canceled"
"BID31537","2","0","0","3","Meal Plan 1","0","Room_Type 1","213","Offline","0","0","0","130","0","43287","Canceled"
"BID18752","2","1","0","3","Meal Plan 1","0","Room_Type 6","70","Online","0","0","0","156.6","2","43324","Not_Canceled"
"BID12974","2","0","2","2","Meal Plan 1","0","Room_Type 4","187","Online","0","0","0","122.4","1","43110","Canceled"
"BID26417","1","0","2","5","Meal Plan 1","0","Room_Type 1","14","Online","0","0","0","90.1","0","43263","Not_Canceled"
"BID23274","2","0","0","1","Not Selected","0","Room_Type 1","2","Online","0","0","0","92.98","0","43414","Not_Canceled"
"BID00317","2","0","0","2","Meal Plan 2","0","Room_Type 1","79","Offline","0","0","0","109","0","6/24/2018","Not_Canceled"
"BID01899","2","0","0","3","Meal Plan 1","0","Room_Type 1","13","Online","0","0","0","105","1","11/17/2018","Not_Canceled"
"BID26315","1","0","2","1","Meal Plan 2","0","Room_Type 1","220","Offline","0","0","0","128","0","9/17/2018","Canceled"
"BID30366","2","0","1","3","Meal Plan 1","0","Room_Type 1","63","Offline","0","0","0","75","0","11/28/2018","Not_Canceled"
"BID30584","2","0","2","1","Meal Plan 1","0","Room_Type 4","15","Online","0","0","0","146","1","6/26/2018","Not_Canceled"
"BID19628","2","0","2","2","Meal Plan 1","0","Room_Type 1","18","Online","0","0","0","111.75","0","42776","Not_Canceled"
"BID33562","2","1","2","1","Meal Plan 1","0","Room_Type 1","28","Online","0","0","0","115.03","1","4/17/2018","Canceled"
"BID15338","1","0","0","2","Meal Plan 2","0","Room_Type 1","102","Offline","0","0","0","87","0","10/16/2017","Not_Canceled"
"BID17362","2","0","0","2","Meal Plan 1","0","Room_Type 1","27","Offline","0","0","0","108","0","9/30/2017","Not_Canceled"
"BID35950","2","0","0","0","Meal Plan 1","0","Room_Type 1","30","Online","0","0","0","0","0","42957","Not_Canceled"
"BID03691","2","0","2","2","Meal Plan 1","0","Room_Type 4","38","Offline","0","0","0","75.8","0","2/21/2018","Not_Canceled"
"BID11913","2","0","0","2","Meal Plan 2","0","Room_Type 1","14","Offline","0","0","0","82","0","9/17/2017","Not_Canceled"
"BID24127","2","0","0","1","Not Selected","0","Room_Type 1","17","Online","0","0","0","81","0","2/25/2018","Not_Canceled"
"BID06054","3","0","0","2","Meal Plan 1","0","Room_Type 4","142","Online","0","0","0","128.7","1","43107","Not_Canceled"
"BID31660","2","0","0","3","Meal Plan 2","0","Room_Type 1","36","Offline","0","0","0","112","0","10/13/2017","Not_Canceled"
"BID18790","2","0","2","3","Meal Plan 1","0","Room_Type 1","6","Online","0","0","0","96.4","0","8/21/2017","Not_Canceled"
"BID14755","1","0","2","2","Meal Plan 1","0","Room_Type 1","163","Offline","0","0","0","100","0","43226","Canceled"
"BID24063","2","0","0","2","Meal Plan 2","0","Room_Type 1","377","Offline","0","0","0","115","1","10/14/2018","Canceled"
"BID12153","3","0","2","1","Meal Plan 1","0","Room_Type 4","87","Online","0","0","0","141.9","0","10/23/2018","Not_Canceled"
"BID07416","2","0","1","0","Not Selected","0","Room_Type 1","1","Online","0","0","0","56.47","0","43317","Not_Canceled"
"BID05590","2","0","1","3","Meal Plan 1","0","Room_Type 1","199","Online","0","0","0","106.2","1","4/14/2018","Canceled"
"BID10971","1","0","1","3","Meal Plan 1","0","Room_Type 1","12","Corporate","0","0","0","95","0","43079","Not_Canceled"
"BID13422","2","0","2","1","Not Selected","0","Room_Type 1","89","Online","0","0","0","79.5","0","43347","Not_Canceled"
"BID20504","2","0","0","2","Meal Plan 2","0","Room_Type 1","74","Offline","0","0","0","101.5","0","9/18/2017","Not_Canceled"
"BID23364","2","1","0","1","Meal Plan 1","0","Room_Type 1","9","Online","0","0","0","169","0","7/23/2018","Canceled"
"BID36048","2","2","0","2","Meal Plan 1","0","Room_Type 6","145","Online","0","0","0","186.3","1","43412","Not_Canceled"
"BID34514","2","0","0","2","Meal Plan 1","0","Room_Type 1","71","Offline","0","0","0","75","0","11/25/2018","Not_Canceled"
"BID15744","2","0","0","1","Meal Plan 1","0","Room_Type 1","122","Online","0","0","0","105.3","0","43409","Canceled"
"BID32804","2","0","0","2","Not Selected","0","Room_Type 1","16","Online","0","0","0","91.5","1","43143","Not_Canceled"
"BID24632","2","0","0","4","Meal Plan 1","0","Room_Type 1","280","Online","0","0","0","73.95","1","11/16/2018","Canceled"
"BID03003","2","0","0","2","Not Selected","0","Room_Type 1","46","Online","0","0","0","119.5","2","10/25/2018","Not_Canceled"
"BID32526","2","0","1","5","Meal Plan 1","0","Room_Type 1","90","Online","0","0","0","114.3","0","6/28/2018","Canceled"
"BID01250","2","0","0","1","Not Selected","0","Room_Type 1","191","Online","0","0","0","71.1","0","11/25/2018","Canceled"
"BID00266","2","0","2","5","Not Selected","0","Room_Type 1","53","Online","0","0","0","66.53","2","42775","Not_Canceled"
"BID07933","1","0","0","3","Meal Plan 1","0","Room_Type 1","166","Offline","0","0","0","110","0","43111","Canceled"
"BID13511","2","0","0","3","Meal Plan 1","0","Room_Type 1","53","Online","0","0","0","109.8","0","8/30/2018","Canceled"
"BID16712","2","0","2","3","Meal Plan 1","0","Room_Type 1","93","Online","0","0","0","76.5","2","8/15/2017","Canceled"
"BID04843","2","0","0","1","Meal Plan 1","0","Room_Type 2","1","Online","0","0","0","77.25","0","12/19/2017","Not_Canceled"
"BID11066","2","0","1","2","Meal Plan 1","0","Room_Type 1","302","Offline","0","0","0","100","0","9/16/2018","Canceled"
"BID06144","3","0","1","3","Meal Plan 1","0","Room_Type 4","60","Online","0","0","0","130.48","0","4/25/2018","Not_Canceled"
"BID00149","2","0","0","1","Meal Plan 1","0","Room_Type 1","56","Offline","0","0","0","120","0","43318","Not_Canceled"
"BID24855","2","0","1","3","Meal Plan 1","0","Room_Type 4","270","Online","0","0","0","108.8","1","9/29/2018","Canceled"
"BID07790","2","0","0","4","Meal Plan 2","0","Room_Type 1","323","Offline","0","0","0","112","1","5/17/2018","Canceled"
"BID28416","2","0","1","2","Meal Plan 1","0","Room_Type 1","230","Online","0","0","0","96.3","1","43140","Not_Canceled"
"BID10176","2","1","0","1","Meal Plan 1","0","Room_Type 1","0","Online","0","0","0","159","0","43107","Not_Canceled"
"BID15532","3","0","0","2","Meal Plan 1","0","Room_Type 4","55","Online","0","0","0","159.3","0","43137","Canceled"
"BID16106","1","0","1","1","Meal Plan 1","0","Room_Type 1","49","Online","0","0","0","76.5","0","3/14/2018","Canceled"
"BID15424","2","0","2","1","Meal Plan 1","0","Room_Type 1","228","Online","0","0","0","87.9","0","10/30/2018","Canceled"
"BID34225","2","0","2","3","Meal Plan 1","0","Room_Type 1","112","Offline","0","0","0","72.25","1","43288","Not_Canceled"
"BID36017","2","1","0","1","Meal Plan 1","0","Room_Type 1","11","Online","0","0","0","138.5","1","43139","Not_Canceled"
"BID00094","2","0","0","1","Meal Plan 1","0","Room_Type 4","92","Online","0","0","0","149.4","1","5/19/2018","Not_Canceled"
"BID28592","2","0","0","3","Meal Plan 1","0","Room_Type 1","104","Offline","0","0","0","75","0","42806","Not_Canceled"
"BID26003","2","0","1","3","Meal Plan 1","0","Room_Type 1","90","Online","0","0","0","82.45","1","43194","Not_Canceled"
"BID12378","2","0","1","2","Meal Plan 1","0","Room_Type 1","168","Offline","0","0","0","85","0","4/22/2018","Canceled"
"BID26063","3","0","1","3","Not Selected","0","Room_Type 1","83","Online","0","0","0","97.75","1","3/21/2018","Not_Canceled"
"BID17010","1","0","2","1","Meal Plan 1","0","Room_Type 1","116","Offline","0","0","0","61","0","2/28/2018","Canceled"
"BID30924","2","0","1","1","Meal Plan 1","0","Room_Type 4","72","Online","0","0","0","96.3","1","43135","Not_Canceled"
"BID31148","2","0","1","3","Not Selected","0","Room_Type 1","40","Online","0","0","0","74.8","0","43112","Canceled"
"BID10116","2","0","0","2","Not Selected","0","Room_Type 1","23","Online","0","0","0","88","2","11/17/2018","Not_Canceled"
"BID24445","2","0","1","3","Meal Plan 1","0","Room_Type 1","48","Online","0","0","0","94.5","1","10/19/2017","Not_Canceled"
"BID35659","1","0","0","3","Meal Plan 1","0","Room_Type 1","0","Corporate","1","0","3","65","1","5/17/2018","Not_Canceled"
"BID08001","2","2","1","3","Meal Plan 1","0","Room_Type 6","3","Online","0","0","0","183","1","2018-2-29","Not_Canceled"
"BID06818","2","0","0","3","Meal Plan 1","0","Room_Type 1","86","Online","0","0","0","90.3","1","43224","Not_Canceled"
"BID24808","3","0","2","4","Meal Plan 1","0","Room_Type 1","160","Online","0","0","0","125.8","0","43138","Canceled"
"BID06464","2","0","0","3","Meal Plan 1","0","Room_Type 1","271","Online","0","0","0","101.33","1","9/21/2018","Canceled"
"BID03404","3","0","0","2","Meal Plan 1","0","Room_Type 4","135","Online","0","0","0","151.2","3","10/13/2018","Not_Canceled"
"BID06296","2","0","2","1","Meal Plan 1","0","Room_Type 4","71","Online","0","0","0","112.8","0","4/24/2018","Not_Canceled"
"BID35857","2","0","1","2","Meal Plan 1","0","Room_Type 1","78","Offline","0","0","0","100","0","3/25/2018","Canceled"
"BID32960","2","0","2","1","Meal Plan 1","1","Room_Type 1","14","Online","0","0","0","111.67","0","12/26/2017","Not_Canceled"
"BID18909","1","0","0","2","Meal Plan 1","0","Room_Type 1","9","Corporate","0","0","0","56","0","43134","Not_Canceled"
"BID24261","3","0","1","3","Meal Plan 1","0","Room_Type 1","83","Online","0","0","0","154.7","1","43108","Not_Canceled"
"BID04390","2","0","1","2","Meal Plan 1","0","Room_Type 4","72","Online","0","0","0","104.4","1","3/14/2018","Not_Canceled"
"BID28097","2","0","1","0","Not Selected","0","Room_Type 1","2","Online","0","0","0","89","0","4/18/2018","Not_Canceled"
"BID13500","2","0","0","3","Not Selected","0","Room_Type 1","45","Online","0","0","0","108","1","43414","Not_Canceled"
"BID07369","2","0","0","1","Meal Plan 1","0","Room_Type 1","47","Online","0","0","0","94.5","1","10/22/2017","Not_Canceled"
"BID24010","1","0","2","2","Meal Plan 1","0","Room_Type 1","111","Online","0","0","0","88.4","2","12/24/2018","Not_Canceled"
"BID17346","2","0","0","2","Meal Plan 1","0","Room_Type 1","263","Offline","0","0","0","110","0","10/21/2018","Canceled"
"BID06288","2","0","0","3","Meal Plan 1","0","Room_Type 1","304","Online","0","0","0","89","0","43170","Canceled"
"BID28686","1","0","1","2","Meal Plan 1","0","Room_Type 1","101","Offline","0","0","0","70","0","43194","Canceled"
"BID31912","2","0","0","3","Meal Plan 1","0","Room_Type 1","15","Offline","0","0","0","84","1","42956","Not_Canceled"
"BID17240","1","0","0","3","Meal Plan 1","0","Room_Type 1","71","Offline","0","0","0","120","0","6/14/2018","Not_Canceled"
"BID07298","2","1","2","2","Meal Plan 1","0","Room_Type 4","11","Offline","0","0","0","156.8","3","6/26/2018","Not_Canceled"
"BID17752","1","0","0","3","Meal Plan 1","0","Room_Type 1","71","Offline","0","0","0","120","0","6/14/2018","Not_Canceled"
"BID03101","2","0","0","1","Meal Plan 1","0","Room_Type 1","49","Online","0","0","0","126.9","0","5/21/2018","Canceled"
"BID28208","2","0","0","2","Meal Plan 1","0","Room_Type 1","120","Online","0","0","0","72.25","1","12/29/2017","Not_Canceled"
"BID15514","1","0","1","2","Meal Plan 1","0","Room_Type 1","57","Offline","0","0","0","75.33","1","43379","Not_Canceled"
"BID07100","2","0","0","4","Meal Plan 1","0","Room_Type 1","207","Online","0","0","0","106.2","1","43195","Canceled"
"BID16429","2","0","0","2","Meal Plan 2","0","Room_Type 1","239","Offline","0","0","0","112.2","0","6/15/2018","Canceled"
"BID03193","2","0","0","2","Meal Plan 1","0","Room_Type 1","263","Online","0","0","0","110","0","10/21/2018","Canceled"
"BID30548","1","0","0","3","Meal Plan 1","0","Room_Type 1","335","Offline","0","0","0","80","0","10/13/2018","Not_Canceled"
"BID06649","2","0","0","2","Meal Plan 1","0","Room_Type 1","245","Online","0","0","0","75","0","6/17/2018","Canceled"
"BID34581","1","0","0","1","Meal Plan 1","0","Room_Type 1","6","Corporate","0","0","0","88.2","0","43285","Not_Canceled"
"BID13416","1","0","0","1","Meal Plan 1","0","Room_Type 1","49","Corporate","0","0","0","65","0","9/22/2017","Not_Canceled"
"BID18374","0","2","2","3","Meal Plan 1","0","Room_Type 2","142","Online","0","0","0","95.79","1","8/21/2018","Not_Canceled"
"BID01360","2","0","2","2","Meal Plan 1","0","Room_Type 1","41","Online","0","0","0","81.77","1","42958","Not_Canceled"
"BID20673","2","0","0","2","Meal Plan 1","0","Room_Type 1","81","Complementary","0","0","0","0","0","43104","Not_Canceled"
"BID23097","2","0","0","1","Meal Plan 1","0","Room_Type 2","130","Online","0","0","0","61.25","0","2/20/2018","Canceled"
"BID34100","2","0","0","1","Not Selected","0","Room_Type 1","1","Online","0","0","0","128","2","8/17/2018","Not_Canceled"
"BID13041","2","2","0","1","Meal Plan 1","0","Room_Type 6","131","Online","0","0","0","177.3","0","7/15/2018","Canceled"
"BID11759","2","0","2","5","Meal Plan 1","0","Room_Type 4","28","Online","0","0","0","74.08","0","43284","Not_Canceled"
"BID01300","2","0","1","4","Meal Plan 1","0","Room_Type 4","64","Online","0","0","0","138.24","0","43354","Not_Canceled"
"BID27971","2","0","0","1","Not Selected","0","Room_Type 1","108","Online","0","0","0","103.5","0","43350","Canceled"
"BID12993","2","0","0","3","Meal Plan 1","0","Room_Type 1","103","Offline","0","0","0","80","0","43195","Not_Canceled"
"BID34845","2","0","0","3","Not Selected","0","Room_Type 1","65","Online","0","0","0","125.1","1","9/27/2018","Not_Canceled"
"BID32363","2","0","1","1","Not Selected","0","Room_Type 1","1","Online","0","0","0","95","1","12/28/2017","Not_Canceled"
"BID25230","2","0","0","2","Meal Plan 1","0","Room_Type 4","21","Online","0","0","0","117","1","42926","Not_Canceled"
"BID11367","2","1","1","5","Meal Plan 2","0","Room_Type 1","7","Online","0","0","0","169.17","0","43284","Canceled"
"BID01405","1","0","0","1","Meal Plan 1","0","Room_Type 4","0","Corporate","1","0","2","110","1","9/28/2018","Not_Canceled"
"BID17723","1","0","1","2","Meal Plan 1","0","Room_Type 1","199","Offline","0","0","0","63.75","1","43201","Not_Canceled"
"BID21616","2","2","1","3","Meal Plan 1","0","Room_Type 6","38","Online","0","0","0","198.9","0","5/16/2018","Canceled"
"BID18687","2","0","2","1","Meal Plan 2","0","Room_Type 1","96","Offline","0","0","0","94.5","0","43046","Canceled"
"BID04325","2","1","0","2","Meal Plan 1","0","Room_Type 1","15","Online","0","0","0","114","1","43193","Canceled"
"BID26845","2","0","1","2","Meal Plan 1","0","Room_Type 1","162","Online","0","0","0","76.5","1","8/28/2017","Canceled"
"BID19158","2","2","0","3","Meal Plan 1","0","Room_Type 2","5","Online","0","0","0","83.03","0","43406","Canceled"
"BID34073","2","0","0","2","Meal Plan 1","0","Room_Type 4","0","Corporate","1","0","1","110","1","9/30/2018","Not_Canceled"
"BID17031","1","0","1","0","Meal Plan 1","0","Room_Type 1","3","Offline","0","0","0","77.6","0","43348","Not_Canceled"
"BID15413","2","0","2","3","Meal Plan 1","0","Room_Type 1","75","Online","0","0","0","82.45","0","43104","Canceled"
"BID13417","2","0","2","1","Meal Plan 2","0","Room_Type 1","111","Online","0","0","0","148.5","2","43259","Not_Canceled"
"BID12020","2","0","0","1","Meal Plan 1","0","Room_Type 1","1","Online","0","0","0","169","1","9/15/2018","Not_Canceled"
"BID25088","3","0","1","3","Meal Plan 1","0","Room_Type 4","266","Online","0","0","0","104.55","0","12/26/2018","Not_Canceled"
"BID17910","1","2","4","6","Meal Plan 1","0","Room_Type 4","175","Online","0","0","0","129.2","1","43380","Canceled"
"BID32813","1","0","0","3","Meal Plan 1","0","Room_Type 1","68","Online","0","0","0","121.5","0","43378","Canceled"
"BID24847","2","0","2","0","Meal Plan 1","0","Room_Type 1","95","Online","0","0","0","90","2","11/20/2018","Canceled"
"BID24733","2","0","0","3","Not Selected","0","Room_Type 1","70","Online","0","0","0","85.5","0","43224","Not_Canceled"
"BID25322","2","0","1","3","Not Selected","0","Room_Type 1","49","Online","0","0","0","74.8","2","43112","Not_Canceled"
"BID10586","2","0","0","3","Not Selected","0","Room_Type 1","49","Online","0","0","0","89.91","0","43260","Canceled"
"BID27984","1","0","0","1","Meal Plan 1","0","Room_Type 1","1","Aviation","0","0","0","95","0","9/20/2018","Not_Canceled"
"BID30400","2","0","1","2","Meal Plan 1","0","Room_Type 4","185","Online","0","0","0","103.5","0","12/16/2018","Not_Canceled"
"BID25628","2","0","2","2","Not Selected","0","Room_Type 1","161","Online","0","0","0","95.2","1","4/29/2018","Not_Canceled"
"BID31695","2","0","1","2","Meal Plan 1","0","Room_Type 1","199","Offline","0","0","0","68","1","43201","Not_Canceled"
"BID21949","2","0","0","4","Meal Plan 1","0","Room_Type 1","94","Online","0","0","0","90.95","1","43438","Not_Canceled"
"BID10027","2","0","1","4","Meal Plan 1","0","Room_Type 4","34","Online","0","0","0","131.4","0","43194","Canceled"
"BID04766","0","2","1","3","Meal Plan 1","0","Room_Type 2","147","Online","0","0","0","6","1","43194","Not_Canceled"
"BID09750","2","0","1","1","Meal Plan 2","0","Room_Type 1","7","Offline","0","0","0","112.2","0","42865","Not_Canceled"
"BID27371","3","0","1","2","Meal Plan 1","0","Room_Type 4","75","Online","0","0","0","126","2","11/18/2018","Not_Canceled"
"BID33579","2","0","1","3","Meal Plan 1","0","Room_Type 4","58","Offline","0","0","0","90.95","1","43321","Not_Canceled"
"BID11317","2","0","0","4","Meal Plan 1","0","Room_Type 4","19","Offline","0","0","0","52.5","2","42836","Not_Canceled"
"BID07984","2","0","0","1","Meal Plan 1","0","Room_Type 1","23","Online","0","0","0","114.75","0","6/15/2018","Canceled"
"BID33549","2","0","1","2","Meal Plan 1","0","Room_Type 1","54","Online","0","0","0","99","1","3/18/2018","Not_Canceled"
"BID34382","2","0","2","2","Meal Plan 1","0","Room_Type 1","56","Offline","0","0","0","185","0","9/25/2017","Not_Canceled"
"BID21916","2","0","1","0","Meal Plan 1","0","Room_Type 1","141","Offline","0","0","0","90","0","9/20/2017","Not_Canceled"
"BID06255","1","0","2","4","Meal Plan 1","0","Room_Type 1","69","Online","0","0","0","120","0","43440","Canceled"
"BID15064","2","0","0","1","Not Selected","0","Room_Type 1","13","Online","0","0","0","119","0","43290","Canceled"
"BID08400","2","0","0","2","Not Selected","0","Room_Type 1","16","Online","0","0","0","89","1","11/17/2018","Not_Canceled"
"BID22538","2","1","2","5","Meal Plan 1","0","Room_Type 1","156","Offline","0","0","0","94.91","1","43411","Not_Canceled"
"BID16568","1","0","1","1","Meal Plan 1","0","Room_Type 1","60","Online","0","0","0","0","0","9/21/2017","Not_Canceled"
"BID13892","1","0","0","2","Meal Plan 1","0","Room_Type 1","65","Offline","0","0","0","100","0","42776","Not_Canceled"
"BID28606","2","2","0","2","Meal Plan 1","0","Room_Type 6","161","Online","0","0","0","186.3","3","8/16/2018","Not_Canceled"
"BID13830","2","0","2","0","Meal Plan 1","0","Room_Type 1","69","Online","0","0","0","76.5","1","43076","Canceled"
"BID11537","1","0","0","3","Meal Plan 1","0","Room_Type 1","71","Offline","0","0","0","120","0","6/14/2018","Not_Canceled"
"BID13072","2","0","1","4","Meal Plan 1","0","Room_Type 4","109","Online","0","0","0","97.75","2","11/21/2018","Not_Canceled"
"BID33792","1","0","0","2","Meal Plan 2","0","Room_Type 1","265","Offline","0","0","0","90","0","6/24/2018","Not_Canceled"
"BID21475","1","0","0","3","Meal Plan 1","0","Room_Type 4","47","Offline","0","0","0","120","0","9/13/2018","Not_Canceled"
"BID17459","2","2","1","4","Not Selected","0","Room_Type 6","40","Online","0","0","0","150.12","2","10/21/2017","Not_Canceled"
"BID23113","2","0","1","3","Meal Plan 1","0","Room_Type 4","29","Online","0","0","0","73.73","1","43284","Not_Canceled"
"BID19537","2","0","0","3","Meal Plan 1","0","Room_Type 4","14","Online","0","0","0","126","0","43285","Canceled"
"BID04892","2","0","2","4","Meal Plan 1","0","Room_Type 1","92","Online","0","0","0","76.5","2","42924","Canceled"
"BID25557","2","0","0","3","Meal Plan 1","0","Room_Type 1","304","Offline","0","0","0","89","0","43170","Canceled"
"BID33530","1","0","2","0","Meal Plan 1","0","Room_Type 1","6","Complementary","0","0","0","0","0","11/13/2018","Not_Canceled"
"BID20830","2","0","2","2","Not Selected","0","Room_Type 1","3","Online","0","0","0","81","0","2/14/2018","Not_Canceled"
"BID10244","2","0","0","3","Meal Plan 1","0","Room_Type 4","47","Online","0","0","0","91.8","0","43376","Canceled"
"BID07392","2","1","1","3","Meal Plan 1","0","Room_Type 1","62","Online","0","0","0","101.15","2","3/28/2018","Not_Canceled"
"BID26827","3","0","0","4","Meal Plan 1","0","Room_Type 4","134","Online","0","0","0","133.2","0","8/23/2018","Canceled"
"BID12114","3","0","1","2","Meal Plan 1","0","Room_Type 4","60","Online","0","0","0","126","1","11/18/2018","Canceled"
"BID18606","2","0","2","2","Meal Plan 1","0","Room_Type 1","67","Offline","0","0","0","75","0","11/25/2018","Not_Canceled"
"BID14784","1","0","0","3","Not Selected","0","Room_Type 1","4","Online","0","0","0","84.7","1","10/25/2018","Not_Canceled"
