"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"11" 0 0 0 1 1 0 1 1 1 0 0 NA 1 1 0 1 0 1 1 1 0 1 0 1 1 0 0 0 0 NA 0 0 1 0 1 1 0 1 0 0 NA 0 1 0 1 0 1 0 1 0 1 0 1 NA 1 0 1 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 0 1 1 1 0 0 0 0 1 0 1 NA 1 1 1 NA 0 1 1 1 0 0 1 1 0 1 1 0
"12" 1 0 0 0 0 1 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 NA 0 1 0 NA NA 0 0 0 1 0 0 1 0 1 1 0 1 1 1 0 0 1 1 0 0 1 0 0 1 0 1 1 0 1 NA 0 1 0 0 0 1 0 1 1 1 0 0 1 0 NA 1 1 1 0 0
"13" NA 1 1 1 1 0 0 1 0 0 1 1 0 NA 1 0 1 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 1 0 1 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 0 1 NA 0 1 1 1 0 1 NA 1 0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1
"14" 0 0 1 NA 0 1 0 1 1 1 0 0 0 1 0 1 1 1 1 0 1 0 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 1 0 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 1 1 0 NA 1 1 1 0 0 0 0 1 0 1 1 1 0 1 1 0 1 1 0 NA 0 1 1 0 0 0 1 0 1 1 1 0 1 1 1 1 1 0 1 0 1
"15" 1 0 0 1 1 1 0 1 1 1 0 1 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 1 1 1 1 NA 0 1 1 1 1 1 0 1 0 0 1 1 1 0 1 0 1 NA 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 0 1 0 1 1 0 0
"16" 0 0 1 1 1 1 1 1 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 1 1 0 1 NA 0 NA 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 1 1 NA 0 1 0 1 0 1 1 0 0 1 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 NA 1 1 1 0 0 1 1 1 1 1 0 1 1 1
"17" 0 0 0 0 0 1 0 NA 1 1 0 0 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 1 0 0 0 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 0 0 1 0 NA 1 0 1 1 0 1 1 1 1 0 NA 0 0 0 NA 1 1 1 0 0 1 1 0 1 1 1 1
"18" 0 0 0 1 1 1 1 1 1 0 1 NA 0 1 1 1 0 0 1 1 1 1 NA 0 1 1 0 0 0 1 1 0 NA 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 1 1 NA 1 1 1 1 1 1 1 1 0 0 1 1 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 1 1 1 NA 0
"19" 0 1 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 0 0 1 1 1 0 1 0 1 0 0 1 1 1 0 0 0 1 1 0 NA NA 1 0 1 1 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 1 NA 1 1 1 1 0 1 0 0 0 NA 1 1 1 1 0 1 0 1 0 0 1
"20" 0 0 0 1 1 1 NA 1 0 1 0 0 1 0 0 0 NA 0 1 1 1 NA 0 0 1 1 1 0 1 1 0 0 0 1 1 1 NA 0 NA 0 NA 1 NA 1 0 1 1 1 0 1 0 NA 0 1 0 0 1 1 1 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 NA 0 1 0 0 0 0 0 1 0 1 1 1 0 0 1 1 1 1 1 0 0 1 0
"21" 1 1 NA 0 1 1 1 1 1 1 NA 0 1 0 0 1 0 0 0 1 0 NA 1 1 0 0 1 1 1 0 1 1 0 1 0 1 0 0 1 NA 0 1 1 1 1 0 1 NA 0 1 1 0 0 0 1 0 1 1 0 0 1 NA 0 0 1 1 1 0 NA 0 0 1 0 1 1 1 0 0 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 0 0
"22" 0 1 0 0 1 1 1 1 0 0 1 0 1 1 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 1 0 1 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 0 1 1 1 0 0 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1 0 0 1 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0 0
"23" 0 1 0 0 1 1 1 1 1 1 1 0 1 NA 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 1 0 NA 0 0 1 0 0 1 0 0 0 1 1 1 0 1 1 0 1 1 0 NA 0 0 0 1 0 0 1 1 1 0 NA 1 1 1 1 0 0 0 0 1 0 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0
"24" 1 1 NA 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0 0 NA 0 1 NA 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 NA 1 1 0 0 1 1 0 1 1 1 0 1 0 1 0 1 NA 0 0 1 0 0 0 NA 0 1 1 1 1 0 1 1 0 0 0 1 0 1
"25" 1 0 0 1 1 1 1 1 1 1 0 1 1 0 0 1 0 0 1 1 1 1 1 NA 1 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 NA 1 0 0 0 1 1 0 1
"26" NA 0 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 1 1 0 0 0 0 1 0 1 0 0 1 0 NA 0 0 0 0 1 1 1 0 1 1 1 0 1 0 1 0 NA 0 0 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 1 0 0 1 1 1 1 1 0 0 1 1
"27" 0 0 0 1 1 1 1 1 1 1 1 0 0 0 NA 1 0 0 1 1 1 1 0 0 NA 0 1 0 1 0 1 0 0 1 0 1 0 0 1 1 1 0 0 1 1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 NA 1 1 1 0 0 0 1 1 1 1 0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 0 0 0 1
"28" 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 1 0 1 1 1 0 1 1 0 0 1 1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 0 0 1 1
"29" 0 0 0 0 0 1 0 1 0 0 NA 0 0 1 0 0 1 0 1 0 1 0 0 0 1 1 1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 1 1 1 1 1 0 0 1 0 1 0 1 0 1 0 1 1 1 1 0 0 1 0 1 1 0 1 0 0 0 0 0 1 1 1 0 1 1 1 0 0 1 0 0 1 1 1 1 0 1 1 1 1 0 0 0 1 1
"30" 1 0 0 1 1 0 NA 1 1 1 1 0 1 1 0 1 0 0 1 1 NA 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 NA 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 1 1 0 1 NA 1 0 0 NA 0 1 1 0 0 0 1 1 1 NA 1 0 0 0 0 1 1 NA 0 1 0 0 1 1 1 1 0 0 0 0 0 1 NA 0 1
"31" 0 1 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 1 0 0 1 1 0 1 0 0
"32" 1 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 0 NA 0 0 1 1 1 0 0 0 1 1 0 1 1 1 1 0 0 0 1 1 0 NA 0 1 0 0 1 1 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1 0 1 NA 0 0 1 0 1 1 0 1 0 1 0 0 1 0 0 NA 1 1 0 0 0 1 1 0 1 0 1 1 1
"33" 0 0 0 1 1 1 1 1 0 1 1 0 1 1 1 0 0 0 1 1 0 1 1 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 0 1 0 1 1 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 0 1 1 1 1 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1 1 1 1 0 1 0 NA 0 1 0 0 0
"34" 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 NA 1 0 1 0 1 0 0 1 0 1 1 0 1 1 1 0 1 1 1 NA 0 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 1 0
"35" 0 1 1 0 0 1 0 0 1 0 0 0 1 1 1 0 0 1 0 1 1 1 1 0 0 0 1 1 1 1 1 0 0 1 1 0 0 1 1 1 0 1 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 1 1 0 1 0 0 1 0 1 1 1 0 0 1 1 0 1 0 1 1 0 1 1 1 0 0 0 0 0 1 1 1 1 0 0 1 1 0 0 1 1 0 1
"36" NA 1 0 1 1 0 1 1 1 NA 1 0 1 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 1 NA 1 0 NA 1 0 1 0 1 1 1 0 NA 1 1 0 0 1 0 1 0 1 1 1 0 NA 1 0 0 0 0 1 NA 0 0 1 0 1 1 NA 0 1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 1
"37" 0 1 1 1 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 0 1 1 NA 0 0 1 1 1 1 0 0 1 1 0 NA 1 0 1 0 1 1 1 0 0 1 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 1 0 1 0 1 1 NA 0 1 0 0 0 0 0 1 1 1 0 0 1 1 1 0 1 1 0 1
"38" 0 1 0 0 1 0 1 1 1 NA 0 1 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 NA 0 1 0 0 NA 1 1 1 1 0 0 1 0 0 0 NA 0 0 1 0 NA 0 1 0 1 0 1 1 1 0 0 1 1 NA 1 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 1 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1 1 0 1 1
"39" 0 1 0 NA 1 1 1 0 1 0 NA 0 0 1 1 1 0 0 1 1 0 1 1 1 1 0 NA 0 0 0 1 1 1 1 0 NA 0 1 1 0 0 1 0 0 1 NA 1 0 0 1 1 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 NA 0 1 0 1 0 0 1 1 1 0 1 1 1 1 0 1 1
"40" 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0 NA 0 1 0 NA 1 0 1 0 0 1 0 1 0 NA 0 0 0 1 1 1 NA 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 NA 1 0 0 1 0 0 1 NA 0 0 0 1 0 0 0 0 1 NA 1 1
"41" 1 0 0 1 1 1 0 0 1 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1 1 0 1 0 1 1 0 1 1 0 0 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 1
"42" NA 1 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 0 1 0 0 1 1 0 0 0 1 1 0 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 0 NA 1 0 0 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 0 0 1 0 1 1 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 0 1 0 1 1 1 0 1
"43" 0 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 1 1 0 0 0 1 1 0 1 1 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 1 1 1 1 0 0 1 0 1 1 1 0 0 0 1 1 1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 0
"44" 0 0 0 1 NA 1 0 1 1 1 0 0 0 0 1 1 1 1 0 1 1 0 0 0 0 0 0 1 1 1 1 NA NA 1 1 0 0 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0 0 1 0 1 1 1 1 NA 0 0 1 1 0 0 1 1 0 1 NA 1 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 NA NA 1 0 1
"45" 0 1 0 NA 1 0 1 1 0 0 0 0 1 1 1 0 0 1 0 0 1 1 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 1 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1 0 1 1 1 NA 1 1 1 1 1 0 1 1 1 1 0 0 0 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 1 1 0 1 1 1
"46" 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 0 0 1 1 0 1 0 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 1 0 0 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 1 1 1 0 1
"47" 1 0 1 0 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 0 1 0 0 0 1 1 1 0 1 1 0 1 0 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 1 1 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 1
"48" 1 NA 1 1 1 NA 0 0 1 1 0 1 1 0 NA 1 1 1 1 1 1 0 0 0 0 NA 0 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 1 0 1 NA 1 0 1 0 NA 1 0 1 1 1 1 1 1 1 0 1 0 1 1 NA 0 0 NA 0 NA 1 0 1 1 0 1 0 0 1 1 0 0 1 0 1 1 1 1 NA 1 0 0 1 1 1 0 1
"49" 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1 0 NA NA 1 0 1 1 0 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 0 NA 1 0 1 0 0 0 1 1 1 0 0 1 1 1 0 1 0 0 1 1
"50" 0 1 0 1 0 NA 1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 NA 1 0 0 0 0 0 1 1 1 0 1 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 NA 0 1 0 0 1 1 1 1 1 0
"51" 0 1 1 0 0 1 0 0 1 1 0 0 1 1 1 0 1 1 0 1 1 0 0 0 0 0 1 1 1 NA 0 0 0 1 0 0 1 0 1 1 1 1 1 1 1 0 1 0 1 0 0 1 1 1 0 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1 0 0 0 1 0 1 0 0 NA 1 0 NA 0 0 0 1 1 1 1 1 1 0 1 1 0 0 1 1 0 1
"52" NA 0 NA 1 0 NA 1 1 1 NA 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 1 0 0 NA 0 1 0 0 0 0 1 1 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 NA 1 0 1 0 0 NA 1 1 1 0 0 0 0 1 1 NA 0 1 1 0 1 0 0 1 1 1 1 0 1 0 1 1 0 0 0 0
"53" 0 NA 0 0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 1 0 0 0 1 0 1 1 1 0 1 0 1 1 1 0 0 NA 1 1 0 1 0 0 0 NA 1 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 1 0 0 1 0 1 1 1 1 1 1 1
"54" 1 0 1 0 1 1 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1 0 1 NA NA 1 0 1 1 0 0 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1 1
"55" NA 0 1 1 1 1 0 1 NA 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 0 0 1 0 0 0 1 1 1 0 1 1 1 1 0 1 0 1 0 1 0 0 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 NA 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0 NA 1 1 1 1 1 0 NA 0 1 1 1
"56" 0 1 0 0 0 0 1 1 0 1 1 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 0 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 1 0 0 0 1 1 1 0 0 0
"57" NA 0 1 0 1 1 0 0 1 0 0 0 0 0 NA 1 0 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 0 1 1 0 NA 1 NA 1 0 1 NA 1 1 0 1 0 1 1 1 1 0 0 1 1 0 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 0 0 1 0 1 1 1 0 0 0 NA 1 1 1 1 NA 0 1 0 1 1 1 1 0 NA
"58" 1 1 0 1 1 1 0 1 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 0 0 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 1 1 0
"59" 0 1 1 1 1 1 0 0 1 1 0 0 NA 1 1 0 0 1 1 0 1 0 1 1 0 0 1 0 1 1 1 0 0 1 1 0 1 0 0 1 0 1 1 1 1 1 1 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 1 1 0 1 1 0 0 1 NA 1 1 1 0 1 0 0 1 0 1 1 NA 0 0 1 1 1 1 0 1 1 1 1 0 0 1 1 0 1
"60" 1 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 1 1 0 1 1 1 1 1 1 1 NA 0 0 1 0 0 1 0 1 0 0 1 1 1 0 1 1 1 0 1 NA 0 0 1 1 1 1 0 1 1 0 1 NA 1
"61" 1 1 1 0 1 0 0 NA 0 0 0 0 1 0 1 0 0 1 1 0 1 1 1 1 0 NA 0 0 0 1 0 0 1 0 0 0 NA 0 0 1 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 1 0 NA 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 1 1 0 0 NA NA 1 NA 0 1 1 0 1 1 1
"62" 0 0 1 1 0 1 0 1 0 1 0 0 0 1 1 0 0 1 0 1 1 0 0 1 0 0 1 1 1 1 1 0 0 1 0 0 0 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 1 1 0 1 0 1 1 0 1
"63" 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 1 0 0 1 0 0 1 1 1 0 1 0 1 0 0 1 1 0 1 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 1 0 0 1 1 1 0 1 0 0
